0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0010	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0100 1101	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0011	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0100 1101	0000 0000 0010 1010	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0100	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0100 1101	0000 0000 0010 1010	0000 0000 0101 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0101	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0100 1101	0000 0000 1000 0100	0000 0000 0101 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0110	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0111 1000	0000 0000 1000 0100	0000 0000 0101 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0111	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0111 1000	0000 0000 1000 0110	0000 0000 0101 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 1000	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0010 0010	0000 0000 0111 1000	1111 1111 1010 0010	0000 0000 0101 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 1001	0000 0000 0000 0000	0000 0000 0000 0000	0
