0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
0000 0001	0001 0010 0011 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0001 0010 0011 1100	0000 0000 0000 0000
0000 0010	0001 0010 0011 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0001 0010 0011 1100	0000 0000 0000 0000
0000 0011	0001 0010 0011 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
0000 0100	0001 0010 0011 1100	0000 0000 0000 0000	0000 0000 0000 0000	0001 1011 0010 1101	0000 0000 0000 0000	0001 1011 0010 1101
0000 0101	0001 0010 0011 1100	0000 0000 0000 0000	0011 0111 0011 0101	0001 1011 0010 1101	0001 1011 0010 1101	0011 0111 0011 0101
0000 0110	0001 0010 0011 1100	0000 0000 0000 0000	0011 0111 0011 0101	0001 1011 0010 1101	0011 0111 0011 0101	0001 0010 0011 1100
0000 0111	0001 0010 0011 1100	1001 1010 0011 1100	0011 0111 0011 0101	0001 1011 0010 1101	0001 0010 0011 1100	1001 1010 0011 1100
0000 1000	0001 0010 0011 1100	1001 1010 0011 1100	0011 0111 0011 0101	0001 1011 0010 1101	0001 0010 0011 1100	1001 1010 0011 1100
0000 1001	0001 0010 0011 1100	1001 1010 0011 1100	0011 0111 0011 0101	0001 1011 0010 1101	0011 0111 0011 0101	0001 1011 0010 1101
0000 1010	0001 0010 0011 1100	1001 1010 0011 1100	0011 0111 0011 0101	0001 1011 0010 1101	0001 0010 0011 1100	0001 0010 0011 1100
