0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	1101 1110 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0010	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	1101 1110 1010 1101	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0011	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	1101 1110 1010 1101	0000 0000 0000 0000	0000 0000 0000 0000	1101 1110 1010 1101	0000 0000 0000 0000	0000 0000 0000 0100	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	1101 1110 1010 1101	1011 1110 0000 0000	0000 0000 0000 0000	1101 1110 1010 1101	0000 0000 0000 0000	0000 0000 0000 0101	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 0000	1101 1110 1010 1101	0000 0000 0000 0000	0000 0000 0000 0110	0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 0000	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 0111	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 0000 0000	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 0000	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 1000	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 1111 1110	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 0000	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 1001	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 1111 1110	1101 1110 1010 1101	1101 1110 1110 1111	0000 0000 0000 0000	1100 1010 1111 1110	1101 1110 1110 1111	0000 0000 0000 1010	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 1111 1110	1101 1110 1010 1101	1101 1110 1110 1111	1011 1010 0000 0000	1100 1010 1111 1110	1101 1110 1110 1111	0000 0000 0000 1011	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 1111 1110	1101 1110 1010 1101	1101 1110 1110 1111	1011 1010 1011 1110	1100 1010 1111 1110	1101 1110 1110 1111	0000 0000 0000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 1111 1110	1101 1110 1010 1101	1101 1110 1110 1111	1011 1010 1011 1110	1100 1010 1111 1110	1011 1010 1011 1110	0000 0000 0000 1101	0000 0000 0000 0000	0000 0000 0000 0000	0
1100 1010 1111 1110	1101 1110 1010 1101	1101 1110 1110 1111	1011 1010 1011 1110	1100 1010 1111 1110	1011 1010 1011 1110	0000 0000 0000 1110	0000 0000 0000 0000	0000 0000 0000 0000	0
